Area_Id,Area,Latitude,Longitude
7114,Abhiramapuram-Cp Ramaswamy Road Pizza Cornner,13.0311037,80.2566849
7121,Adambakkam-Brindavan Nagar,12.985,80.205
7115,Adambakkam-Jayalakshmi Theatre,12.9909,80.1988
7119,Adambakkam-Kakkan Bridge,12.9886,80.2048
7120,Adambakkam-Mahalakshmi Nagar,12.9839,80.2059
7122,Adambakkam-NGO Colony,12.9954,80.2073
7118,Adambakkam-Police Station,12.9897,80.2019
7116,Adambakkam-Punjab National Bank ATM,12.9923,80.1969
7117,Adambakkam-SP Hospital,12.9935,80.201
7124,Adhanoor-Bus stop,12.871883,80.051437
7788,Adyar-Cancer Institute,13.0084,80.2486
7131,Adyar-Depot,12.9979,80.256
7133,Adyar-Fortis Malar Hospital,13.0098839,80.2590574
7129,Adyar-Gandhi Nagar Terminus,13.006658,80.252765
7789,Adyar-Indira Nagar,12.9917221,80.253118
7127,Adyar-Opp. Sangeetha Hotel,13.007282,80.257251
7132,Adyar-Shastri Nagar Konica Show Room,12.9967,80.2585
7128,Adyar-Water Tank,12.9951,80.2526
7134,Agaram-Loco Bridge,13.1072,80.2245
7135,Agaram-SRP Koil Temple,13.1124,80.2315
7136,Alandur-MTC Bus Stop,12.9972274,80.1904883
7137,Alapakkam-Bus stop,13.0429,80.1639
7140,Alwarpet-Signal,13.0388,80.2576
7141,Alwarthirunagar-Bus stop,13.045,80.1861
7687,Alwarthirunagar-Lamech School,13.0435,80.1821
7879,Alwarthirunagar-Velan nagar Police booth,13.0504353,80.1830106
7144,Ambal Nagar-Bus stop,13.0183,80.2059
7149,Ambattur Estate-Bus Terminus,13.099552,80.169924
7150,Ambattur kallikuppam-Tea Kadai Stop,13.133,80.1736
7690,Ambattur Oragadam-Bus stop,13.1273,80.1538
7151,Ambattur OT-Bus Terminus,13.1195,80.15
7692,Ambattur-Attipatttu Krishnan Koil Bus stop,13.094955,80.156713
7855,Ambattur-Canara Bank,13.1103,80.1522
7849,Ambattur-Lenin Nagar park,13.1273,80.1454
7689,Ambattur-LIC Training Zonal office,13.1182,80.1595
7147,Ambattur-Police Station,13.1074,80.1527
7148,Ambattur-Pudur Bus Stop,13.1303,80.1587
7688,Ambattur-Registration Office,13.125,80.1465
7146,Ambattur-Vinayagapuram Bus stop,13.124484,80.150796
7154,Aminjikarai-Market,13.0735,80.2258
7153,Aminjikarai-Skywalk Ampa Mall,13.0735,80.221
7156,Anakaputhur-Bus Depot,12.9850731,80.1231757
7157,Anakaputhur-Church,12.9825,80.1296
7155,Anakaputhur-Govt. School,12.9796,80.1294
7164,Anna Nagar East-K4 Police Station Bus Stop,13.0923,80.2188
7165,Anna Nagar East-Kaveri Colony MTC Bus Stop,13.0917,80.2235
7166,Anna Nagar West-Depot,13.0952,80.1985
7161,Anna Nagar-Anna Arch Bus stop,13.0765,80.218
7160,Anna Nagar-Blue Star,13.0848509,80.2109271
7162,Anna Nagar-Roundana,13.0847,80.2177
7163,Anna Nagar-Shanthi Colony,13.0814,80.2178
7158,Anna Nagar-Sundaram Foundation,13.0818,80.207
7145,Annanur-Murugappa Polytechnic,13.125703,80.118407
7790,Annanur-Railway Station,13.1173,80.1267
7168,Arumbakkam-Food World,13.077014,80.206753
7847,Arumbakkam-Jai Nagar park,13.0689,80.2067
7169,Arumbakkam-MTC Bus Stop,13.076594,80.204284
7691,Ashok Nagar-Police Station,13.043785,80.217288
7171,Ashok Pillar-Canara Bank,13.0399,80.2125
7170,Ashok Pillar-Udhayam Theatre  MTC Bus Stop,13.035,80.2112
7174,Avadi-Bus Terminus,13.12,80.1022
7173,Avadi-Check Post,13.119392,80.09495
7696,Avadi-CRPF Bus Stop,13.1491,80.0879
7177,Avadi-Govardhanagiri Bus Stop,13.0985,80.1083
7697,Avadi-HVF Ajeya Stadium,13.1331,80.1031
7698,Avadi-HVF Poompozhil Nagar,13.139,80.1152
7845,Avadi-HVF Valluvar Vasuki Thirumana Mandapam,13.132,80.1082
7176,Avadi-Iyankulam Bus Stop,13.0937,80.1083
7825,Avadi-JB Estate Bus Stop,13.1111,80.1087
7823,Avadi-Kamaraj Nagar Bus stop,13.1069,80.0942
7175,Avadi-Market,13.1159,80.1041
7695,Avadi-Moorthy Nagar,13.1027,80.1083
7694,Avadi-OCF Post Office,13.1255,80.1032
7693,Avadi-Paruthipattu Bus stop,13.0862,80.1086
7699,Ayanambakkam-Bus stop,13.0725,80.1531
7182,Ayanavaram-Depot,13.0981,80.2415
7183,Ayanavaram-ESI Bus stop,13.0948,80.2413
7179,Ayanavaram-Joint Office,13.1017,80.2309
7184,Ayanavaram-Medavakkam Tank Road Bus stop,13.095,80.2413
7791,Ayanavaram-Noor Hotel,13.0986,80.2343
7178,Ayanavaram-Railway Quaters,13.0991,80.2237
7181,Ayanavaram-Sayani Petrol Bunk,13.0979,80.2384
7186,Ayapakkam-Bus stop,13.0988,80.1327
7187,Ayapakkam-Ganesh Bhawan Hotel Bus Stop,13.1071,80.1314
7188,Ayapakkam-Govt High School,13.0892,80.1381
7185,Ayapakkam-MGR Puram Bus Stop,13.0976,80.1423
7700,Ayappakam-ICMR Bus Stop,13.101,80.1399
7190,Beach Station-MRTS,13.0922,80.2915
7191,Besant Nagar-Food world,13.0006,80.2669
7192,Broadway-Bus Stop,13.0874,80.284
7193,Butt Road-St.Thomas Mount,13.0086,80.1972
7194,Central-G.H Hospital,13.0823,80.2772
14449,Chembarambakkam Bus Stop,13.040705,80.057944
7196,Chepauk-Anna Square,13.0667,80.284
7197,Chetpet-Bus stop,13.0703122,80.242103
7199,Chintadripet-Market,13.0754,80.2696
7200,Chintadripet-Railway Station,13.0741,80.2734
7201,Chinthamani-Konica Show Room,13.0857,80.2235
7827,Chitlapakkam- More Supermarket,12.9302,80.1483
7792,Chitlapakkam-NSN school,12.9307,80.1381
7828,Chitlapakkam-Rosily School,12.9354,80.1469
7204,Chitlapakkam-Varatharajan Theatre,12.9376,80.1388
7205,Choolai-Post office,13.0898,80.259
7208,Choolaimedu-Bus Stop,13.0679,80.2267
7207,Choolaimedu-Gill nagar Bus stop,13.0646,80.2252
7206,Choolaimedu-Nelson Manikam Foodworld,13.0664,80.2316
7215,Chromepet West-Bus stop,12.9518,80.1401
7209,Chromepet-Lakshmipuram Bus stop,12.9576,80.1252
7820,Chromepet-MIT Gate-Bus stop,12.9481,80.1374
7214,Chromepet-Nemilichery Bus stop,12.9452,80.1634
7703,Chromepet-Radha Nagar St.Marks Matriculation H S School,12.9508,80.1489
7793,Chromepet-Railway Station,12.951692,80.140044
7794,Chromepet-Zameen Royapettah,12.9501,80.1539
7702,Cinmaya Nagar-Bus Stop,13.0628,80.1971
7216,Cinmaya Nagar-Market road,13.0625,80.1983
7704,Cinmaya Nagar-Mettukuppam  Karumari Amman kovil,13.0549,80.1737
7883,CIT Nagar-Bus Stop,13.0298,80.2308
7217,CIT Nagar-Hyundai show room,13.0264,80.2313
7219,Egattur-Bus Stop,12.8361,80.2272
7223,Egmore-Albert Theatre,13.0767,80.2642
7221,Egmore-Dinathanthi Office,13.0807,80.2626
7222,Egmore-Govt. Eye Hosptial,13.0699,80.2609
7220,Egmore-Hotel Marina,13.0757,80.2595
7224,Ekkattuthangal-Kalaimagal Bus stop,13.0243,80.2067
7705,Elephant Gate-Bus stop,13.0916238,80.2753554
7225,Ennore-Bus Stop,13.214832,80.320285
14451,Ernavoor - ETPS Bus Stop,13.200102,80.313095
7226,Ernavoor-Jothinagar Bus stop,13.181398,80.298903
7830,Ernavoor-Murugappa Nagar,13.183732,80.301116
7829,Ernavoor-WIMCO Nagar,13.1786,80.3072
7227,Erukkancheri-Bus stop,13.1246,80.2472
7228,Ezhil nagar-Fire station,13.126545,80.272429
7837,Foreshore Estate-Bus Stop,13.025373,80.274795
7229,Foreshore Estate-M R C Bus Stop,13.0257,80.2751
7231,George Town-Bus stop,13.087458,80.28387
7232,Gerugambakkam-Ajith bus stop,13.0108,80.1443
7233,Gerugambakkam-MTC Bus Stop,13.0155211,80.136592
7234,GKM Colony-Bus stop,13.1113,80.2184
7235,Gopalapuram-Cathedral Road (CSI),13.048098,80.253821
7236,Gowrivakkam-Bus stop,12.921,80.168
14198,Guduvanchery - Pandur,12.792821,80.093225
7242,Guduvanchery-Kayarambedu Bus stop,12.8036,80.0704
14413,Guduvanchery-Kayarambedu Junction Bus stop,12.8103736,80.0766524
7706,Guduvanchery-Kuthanur Bus Stand,12.8516,80.0411
7238,Guduvanchery-Madambakkam Bus stop,12.8443,80.0598
7707,Guduvanchery-OM Sakthi Nagar Bus stop,12.8293,80.0739
7239,Guduvanchery-Perumattunallur Bus stop,12.8224,80.0776
7240,Guduvanchery-Power House EB,12.851163,80.065618
7708,Guduvanchery-Srinivasapuram Bus Stop,12.839445,80.055116
7237,Guduvanchery-Valanchery Bus stop,12.8365,80.0553
7248,Guindy Estate-Bus Stop,13.0098,80.2113
7246,Guindy-Kannigapuram Bus stop,13.0049,80.2203
7709,Guindy-Olympia Technology Park,13.014,80.2045
7243,Guindy-Opp To Le Meridian,13.0073,80.2054
7245,Guindy-Race Course,13.008,80.2132
7249,Hasthinapuram-Kumaran Kundram Bus Stop,12.9418,80.1433
7250,Hasthinapuram-MTC Bus Stop,12.9405,80.1508
7251,Hasthinapuram-Thirumalai Nagar Bus stop,12.9369105,80.1585263
7252,ICF-MTC Bus Stop,13.1005,80.215
7795,Injambakkam-Prathana Theatre,12.93,80.2516
7781,Injambakkam-VGP Golden Beach Bus stop,12.913939,80.250282
7254,IOC Bridge-Depot,13.1391,80.2819
7255,Irumbuliyur East-Bus stop,12.9152026,80.1059892
7257,Iyyappanthangal-Bus Depot,13.0381,80.1351
7258,Iyyappanthangal-Ramachandra Hospital,13.0369,80.142
7824,Iyyappanthangal-Srinivasa Kalyana Mandapam,13.0471,80.1368
7259,Jafferkhanpet-Kasi Theatre,13.0296,80.2085
7260,Jaladampet-Bus stop,12.9291,80.2026
7262,Jawahar Nagar-Bus stop,13.1128,80.2294
7710,K K Nagar-Ayyappan Kovil Bus Stop,13.0393,80.1968
7264,K K Nagar-Bus Depot,13.035681,80.20559
7263,K K Nagar-Pondicherry Guest House,13.0419,80.1933
7851,K K Nagar-Sivan Park Bus stop,13.0411,80.2052
7857,Kadaperi-Burma Colony Bus stop,12.9504,80.1183
7266,Kaladipet-Bus Stop,13.1542,80.3006
7267,Kalmandapam-Bus Stop,13.1151,80.2926
7269,Kamarajapuram-Bus Stand,12.9234,80.155
7268,Kamarajapuram-New life hostel,12.9227,80.1521
7270,Kanagam-Madhya Kailash Bus Stop,13.0066,80.2467
7271,Kandanchavadi-GMR,12.9635,80.2454
7273,Kannadasan Nagar-Bus Stop,13.1361,80.2573
7275,Kannadasan Nagar-EB Office,13.1314,80.2585
